INDUSTRYKEY,DESCRIPTION
311,Industria alimentaria
312,Industria de las bebidas y del tabaco
313,Fabricación de insumos textiles y acabado de textiles
314,"Fabricación de productos textiles, excepto prendas de vestir"
315,Fabricación de prendas de vestir
316,"Curtido y acabado de cuero y piel, y fabricación de productos de cuero, piel y materiales sucedáneos"
321,Industria de la madera
322,Industria del papel
323,Impresión e industrias conexas
324,Fabricación de productos derivados del petróleo y del carbón
325,Industria química
326,Industria del plástico y del hule
327,Fabricación de productos a base de minerales no metálicos
331,Industrias metálicas básicas
332,Fabricación de productos metálicos
333,Fabricación de maquinaria y equipo
334,"Fabricación de equipo de computación, comunicación, medición y de otros equipos, componentes y accesorios electrónicos"
335,"Fabricación de accesorios, aparatos eléctricos y equipo de generación de energía eléctrica"
336,Fabricación de equipo de transporte
337,"Fabricación de muebles, colchones y persianas"
339,Otras industrias manufactureras
